Satellite,époque,X,Y,Z
G8,2021-12-14 10:00:00,-6229300.5209402265,25563244.811855197,1858854.2877791028
G8,2021-12-14 10:16:40,-6439314.945511259,25087774.316350054,5001221.866133719
G8,2021-12-14 10:33:20,-6642743.171026387,24238148.949107807,8037163.544662854
G8,2021-12-14 10:50:00,-6890100.7550530555,23030637.092303827,10902198.63969658
G8,2021-12-14 11:06:40,-7227891.250844312,21494331.178573385,13535480.755620476
G8,2021-12-14 11:23:20,-7696078.990645686,19669910.26857991,15881090.510973185
G8,2021-12-14 11:40:00,-8325885.84470026,17607871.95167071,17889222.598639324
G8,2021-12-14 11:56:40,-9138018.519208198,15366317.338079207,19517242.06994307
G8,2021-12-14 12:13:20,-10141412.253073806,13008394.012888687,20730587.68957605
G8,2021-12-14 12:30:00,-11332552.019237394,10599517.862591151,21503503.578719772
G8,2021-12-14 12:46:40,-12695404.728624012,8204504.941035362,21819584.053087596
G8,2021-12-14 13:03:20,-14201966.787099449,5884748.570138268,21672120.486255713
G8,2021-12-14 13:20:00,-15813402.037584761,3695574.519394259,21064243.1140264
G8,2021-12-14 13:36:40,-17481716.99611141,1683898.5124633117,20008854.880821597
G8,2021-12-14 13:53:20,-19151894.667646103,-113704.11877666228,18528358.65889807
G8,2021-12-14 14:10:00,-20764386.297949098,-1672426.4023695327,16654183.391019301
G8,2021-12-14 14:26:40,-22257843.212549977,-2980088.9370057425,14426118.85794987
G8,2021-12-14 14:43:20,-23571959.23669807,-4037390.9784309715,11891472.7858876
G8,2021-12-14 15:00:00,-24650288.65685754,-4857542.956035253,9104067.807505716
G8,2021-12-14 15:16:40,-25442905.57090369,-5465299.448001432,6123099.286233164
G8,2021-12-14 15:33:20,-25908777.774689183,-5895440.270567357,3011878.113859334
G8,2021-12-14 15:50:00,-26017741.731003996,-6190773.741375272,-163514.79614953627
G8,2021-12-14 16:06:40,-25751984.044683244,-6399759.07483317,-3335633.5587512455
G8,2021-12-14 16:23:20,-25106958.328812562,-6573863.135243759,-6437101.75699479
G8,2021-12-14 16:40:00,-24091693.260209307,-6764779.509139733,-9402045.421559993
G8,2021-12-14 16:56:40,-22728476.67762463,-7021644.431864339,-12167493.728732029
G8,2021-12-14 17:13:20,-21051930.353452154,-7388384.192534996,-14674717.347602835
G8,2021-12-14 17:30:00,-19107519.11483554,-7901322.248640733,-16870475.8161681
G8,2021-12-14 17:46:40,-16949564.89159093,-8587161.732307991,-18708147.419373542
G8,2021-12-14 18:03:20,-14638859.731524944,-9461440.9529406,-20148717.70751653
G8,2021-12-14 18:20:00,-12239990.735253453,-10527536.788969561,-21161605.943925783
G8,2021-12-14 18:36:40,-9818503.343080107,-11776264.623036096,-21725312.312366836
G8,2021-12-14 18:53:20,-7438036.847588986,-13186094.973491412,-21827872.552527886
G8,2021-12-14 19:10:00,-5157567.091541629,-14723977.565305209,-21467110.736987583
G8,2021-12-14 19:26:40,-3028886.024143041,-16346734.647071278,-20650685.075302273
G8,2021-12-14 19:43:20,-1094436.403496353,-18002958.245315775,-19395925.860985238
G8,2021-12-14 20:00:00,614397.0046500191,-19635322.009835206,-17729468.90513919
G8,2021-12-14 20:16:40,2078460.0803458039,-21183198.460521214,-15686691.971691478
G8,2021-12-14 20:33:20,3291411.660058625,-22585457.72779344,-13310965.788859889
